"ordre","code","nom","micro_competence_reference","lien","description","reference"
"21","T1.U1","Comprendre les fondements de la veille technologique","DMB-T1","https://solicode-web-mobile.github.io/autoformation-mobile/veille/","<h3 data-line=""32"" class=""code-line"" dir=""auto"" id=""ua-t11u1-%E2%80%93-d%C3%A9couvrir-et-structurer-sa-veille"" style=""margin-top: 24px; font-weight: 600; margin-bottom: 16px; line-height: 1.25; font-size: 1.25em; position: relative; color: rgb(36, 41, 46); font-family: -apple-system, BlinkMacSystemFont, "" segoe="""" ui"",="""" helvetica,="""" arial,="""" sans-serif,="""" ""apple="""" color="""" emoji"",="""" ""segoe="""" ui="""" emoji"";""="""">UA T1.1.U1 – Découvrir et structurer sa veille</h3><ul data-line=""33"" class=""code-line"" dir=""auto"" style=""margin-bottom: 16px; padding-left: 2em; position: relative; color: rgb(36, 41, 46); font-family: -apple-system, BlinkMacSystemFont, "" segoe="""" ui"",="""" helvetica,="""" arial,="""" sans-serif,="""" ""apple="""" color="""" emoji"",="""" ""segoe="""" ui="""" emoji"";""=""""><li data-line=""33"" class=""code-line"" dir=""auto"" style=""position: relative;""><span style=""font-weight: 600;"">T1.1.1</span>&nbsp;: Comprendre la veille et son utilité</li><li data-line=""34"" class=""code-line"" dir=""auto"" style=""margin-top: 0.25em; position: relative;""><span style=""font-weight: 600;"">T1.1.2</span>&nbsp;: Choisir un bon sujet de veille (et le valider)</li><li data-line=""35"" class=""code-line"" dir=""auto"" style=""margin-top: 0.25em; position: relative;""><span style=""font-weight: 600;"">T1.1.3</span>&nbsp;: Transformer le sujet en question de recherche</li></ul>","DMB-T1.U1"
"22","T1.U2","Maîtriser les outils de curation d'information","DMB-T1","https://solicode-web-mobile.github.io/autoformation-mobile/veille/","<div>*&nbsp; &nbsp;**Concept Clé** : Outils de veille (RSS, Newsletters, Réseaux Sociaux).</div><div>*&nbsp; &nbsp;**Compétence Visée** : **T1 (Veille Technologique et Labs)**.</div><div>*&nbsp; &nbsp;**Objectif** : Mettre en place un système de veille personnalisé.</div><div>*&nbsp; &nbsp;**Granularité N1/N2/N3** :</div><div>&nbsp; &nbsp; *&nbsp; &nbsp;**N1 (Réalisation Traceur)** : Créer un compte sur un agrégateur (ex: Feedly) et s'abonner à 5 sources pertinentes.</div><div>&nbsp; &nbsp; *&nbsp; &nbsp;**Contribution N2 (Validation)** : Permet de trouver les informations nécessaires pour décortiquer l'écosystème local.</div><div>&nbsp; &nbsp; *&nbsp; &nbsp;**Contribution N3 (Finalisation)** : Aide l'apprenant à rester à jour sur les technos (Stack technique des entreprises).</div><div><br></div>","DMB-T1.U2"
"4","T1.U3","Concevoir et animer une présentation technique (bases)","DMB-T1","","<div>*&nbsp; &nbsp;**Concept Clé** : Conception de support et communication orale.</div><div>*&nbsp; &nbsp;**Compétence Visée** : **T1 (Veille Technologique et Labs)**.</div><div>*&nbsp; &nbsp;**Objectif** : Créer un support visuel attractif et le présenter clairement.</div><div>*&nbsp; &nbsp;**Granularité N1/N2/N3** :</div><div>&nbsp; &nbsp; *&nbsp; &nbsp;**N1 (Réalisation Traceur)** : Utiliser Canva ou PowerPoint pour créer 5 slides sur un sujet technique imposé et le présenter en 3 minutes.</div><div>&nbsp; &nbsp; *&nbsp; &nbsp;**Contribution N2 (Validation)** : Les techniques de présentation sont requises pour corriger et améliorer les présentations de l'année précédente (V2).</div><div>&nbsp; &nbsp; *&nbsp; &nbsp;**Contribution N3 (Finalisation)** : Préparation directe à la présentation finale devant la classe et le jury.</div><div><br></div>","DMB-T1.U3"
"5","T1.U4","Cartographier l'écosystème IT local (Tanger)","DMB-T1","","<div>*&nbsp; &nbsp;**Concept Clé** : Marché de l'emploi IT, stacks demandées, acteurs locaux.</div><div>*&nbsp; &nbsp;**Compétence Visée** : **T1 (Veille Technologique et Labs)**.</div><div>*&nbsp; &nbsp;**Objectif** : Identifier les entreprises et les technologies dominantes dans la région.</div><div>*&nbsp; &nbsp;**Granularité N1/N2/N3** :</div><div>&nbsp; &nbsp; *&nbsp; &nbsp;**N1 (Réalisation Traceur)** : Lister 10 entreprises IT à Tanger et extraire de leurs offres d'emploi les stacks les plus courantes.</div><div>&nbsp; &nbsp; *&nbsp; &nbsp;**Contribution N2 (Validation)** : L'identification des stacks permet de cibler les présentations techniques pertinentes pour le marché.</div><div>&nbsp; &nbsp; *&nbsp; &nbsp;**Contribution N3 (Finalisation)** : Constitue la base de prospection pour contacter les entreprises cibles (V3).</div>","DMB-T1.U4"
"6","T1.U5","Conduire un audit critique de présentation","DMB-T1","","<div>*&nbsp; &nbsp;**Concept Clé** : Évaluation par les pairs, critique constructive.</div><div>*&nbsp; &nbsp;**Compétence Visée** : **T1 (Veille Technologique et Labs)**.</div><div>*&nbsp; &nbsp;**Objectif** : Développer l'esprit critique sur la forme et le fond d'une présentation existante.</div><div>*&nbsp; &nbsp;**Granularité N1/N2/N3** :</div><div>&nbsp; &nbsp; *&nbsp; &nbsp;**N1 (Réalisation Traceur)** : Prendre une présentation de l'année précédente et rédiger un rapport listant 3 points forts et 3 axes d'amélioration.</div><div>&nbsp; &nbsp; *&nbsp; &nbsp;**Contribution N2 (Validation)** : Exercice indispensable pour adapter et refondre la présentation (UA2.3).</div><div>&nbsp; &nbsp; *&nbsp; &nbsp;**Contribution N3 (Finalisation)** : Développe la capacité d'évaluation nécessaire pour mentorer les 1ères années (Jury Portfolio).</div>","DMB-T1.U5"
"7","T1.U6","Adapter une présentation aux standards du marché professionnel","DMB-T1","","","DMB-T1.U6"
"8","T1.U7","Conduire une prospection et une interview professionnelle","DMB-T1","","","DMB-T1.U7"
"9","T1.U8","Accompagner et mentorer un pair (Savoir-être et feedback)","DMB-T1","","","DMB-T1.U8"
"10","T1.U9","Organiser et animer un événement d'évaluation (Jury Portfolio)","DMB-T1","","","DMB-T1.U9"
"1","T2.U1","Processus de Conception (Sujet : Design Thinking)","DMB-projet","","","DMB-T2.U1"
"2","UA1.1","Empathie et Définition du Problème","DMB-C1.1","https://solicode-web-mobile.github.io/autoformation-mobile/analyse-besoin/","<span style=""color: rgb(36, 41, 46); font-family: -apple-system, BlinkMacSystemFont, &quot;Segoe UI&quot;, Helvetica, Arial, sans-serif, &quot;Apple Color Emoji&quot;, &quot;Segoe UI Emoji&quot;;"">Conduire des entretiens utilisateurs, rédiger les comptes rendus, créer une carte d'empathie/persona et définir clairement le problème à résoudre.</span>","DMB-UA1.1"
"3","UA1.2","Idéation et Cas d'Utilisation","DMB-C1.1","https://solicode-web-mobile.github.io/autoformation-mobile/analyse-besoin/","<span style=""color: rgb(36, 41, 46); font-family: -apple-system, BlinkMacSystemFont, &quot;Segoe UI&quot;, Helvetica, Arial, sans-serif, &quot;Apple Color Emoji&quot;, &quot;Segoe UI Emoji&quot;;"">Schématiser le processus d'idéation et les comportements attendus du système via un Diagramme de Cas d'Utilisation</span>","DMB-UA1.2"
"15","UA1.3","Prototypage (HTML/CSS) et Tests","DMB-C1.1","","<span style=""color: rgb(36, 41, 46); font-family: -apple-system, BlinkMacSystemFont, &quot;Segoe UI&quot;, Helvetica, Arial, sans-serif, &quot;Apple Color Emoji&quot;, &quot;Segoe UI Emoji&quot;;"">Réaliser le maquettage des interfaces directement en HTML et CSS, puis planifier et exécuter des tests.</span>","DMB-UA1.3"
"16","UA1.4","Modélisation des Données","DMB-C1.1","","<span style=""color: rgb(36, 41, 46); font-family: -apple-system, BlinkMacSystemFont, &quot;Segoe UI&quot;, Helvetica, Arial, sans-serif, &quot;Apple Color Emoji&quot;, &quot;Segoe UI Emoji&quot;;"">&nbsp;Finaliser l'architecture conceptuelle en modélisant les données et leurs relations via un Diagramme de Classes UML.</span>","DMB-UA1.4"
"1","T2.U1","Processus de Conception (Sujet : Design Thinking)","DMB-projet","","* Niveau 1 - [R] : Les phases de base de l'idéation sont mentionnées.
* Niveau 2 - [R] : La démarche d'empathie et d'idéation est adaptée au contexte du projet.
* Niveau 3 - [R] : Le processus complet de Design Thinking est rigoureusement respecté et justifié.","DMB-T2.U1"
"2","T2.U2","Méthodologie de Projet (Sujet : Agile SCRUM)","DMB-projet","","* Niveau 1 - [R] : Un outil de suivi Kanban basique est utilisé.
* Niveau 2 - [R, C] : Les sprints sont définis et le suivi est régulier.
* Niveau 3 - [R, C] : La méthode Agile SCRUM est strictement respectée (rôles, sprints, rituels).","DMB-T2.U2"
"3","T2.U3","Modélisation des Données (Sujet : Diagramme de Classes)","DMB-projet","","* Niveau 1 - [R] : Un schéma conceptuel de base est présent.
* Niveau 2 - [R] : Le Diagramme de Classes représente correctement les entités métier (sans MCD).
* Niveau 3 - [R, C] : Le Diagramme de Classes est parfaitement aligné avec l'implémentation physique de la base de données.","DMB-T2.U3"
"4","T2.U4","Interface Utilisateur (Sujet : Preline UI)","DMB-projet","","* Niveau 1 - [R, P] : Des interfaces de base sont réalisées.
* Niveau 2 - [R, P] : L'UI est ergonomique et intègre du CSS personnalisé.
* Niveau 3 - [R, P] : Les maquettes et l'intégration sont réalisées exclusivement avec Preline UI et CSS natif.","DMB-T2.U4"
"5","T2.U5","Gestion des Versions (Sujet : Git Flow)","DMB-projet","","* Niveau 1 - [C] : Le code est versionné sur un dépôt Git avec une branche principale.
* Niveau 2 - [C] : Des branches séparées sont utilisées pour le développement.
* Niveau 3 - [C] : La convention Git Flow est strictement respectée (main, dev, features branches).","DMB-T2.U5"
"6","T2.U6","Structure de la Base de Données (Sujet : Migrations Laravel)","DMB-projet","","* Niveau 1 - [C] : La base de données est fonctionnelle et connectée.
* Niveau 2 - [C] : Les tables principales sont générées par des migrations.
* Niveau 3 - [C] : L'intégralité de la structure de la base de données est générée exclusivement via les fichiers de migration Laravel (aucune création manuelle).","DMB-T2.U6"
"7","T2.U7","Architecture Logicielle (Sujet : Couche Service)","DMB-projet","","* Niveau 1 - [C] : Le code respecte le pattern MVC de base.
* Niveau 2 - [C] : La logique métier commence à être extraite des contrôleurs.
* Niveau 3 - [C] : L'architecture isole strictement toute la logique métier via l'implémentation de la Couche Service.","DMB-T2.U7"
"8","T2.U8","Qualité Logicielle (Sujet : Tests Unitaires)","DMB-projet","","* Niveau 1 - [C] : L'environnement de test est configuré.
* Niveau 2 - [C] : Quelques tests unitaires basiques sont rédigés.
* Niveau 3 - [C] : Des tests unitaires pertinents et complets sont implémentés pour valider la logique métier.","DMB-T2.U8"
"9","T2.U9","Écosystème Applicatif (Sujet : App Web & NativePHP via API)","DMB-projet","","* Niveau 1 - [C] : L'application Web et l'API de base sont créées.
* Niveau 2 - [C, P] : Les deux applications (Web et Mobile) sont fonctionnelles séparément.
* Niveau 3 - [C, P] : L'Application Web et l'Application Mobile (développée via NativePHP) sont parfaitement interconnectées et communiquent via l'API RESTful.","DMB-T2.U9"
"10","T2.U10","Interactivité Front-End (Sujet : JavaScript)","DMB-projet","","* Niveau 1 - [C] : Du code JavaScript est présent dans le projet.
* Niveau 2 - [C, P] : JavaScript est utilisé pour des validations et interactions basiques.
* Niveau 3 - [C, P] : Le JavaScript est utilisé de manière avancée pour garantir une expérience utilisateur fluide et dynamique.","DMB-T2.U10"
"11","T2.U11","Innovation (Sujet : Agent IA)","DMB-projet","","* Niveau 1 - [R] : Le concept d'intégration de l'IA est documenté.
* Niveau 2 - [C] : Un Agent IA est techniquement intégré dans l'écosystème.
* Niveau 3 - [C, P] : L'Agent IA apporte une réelle valeur ajoutée métier, avec un fonctionnement démontré en direct.","DMB-T2.U11"
"12","T2.U12","Authenticité (Sujet : Unicité des Visuels)","DMB-projet","","* Niveau 1 - [R, P] : Les visuels illustrent globalement le projet.
* Niveau 2 - [R, P] : La majorité des captures d'écran correspond au code du candidat.
* Niveau 3 - [R, P] : Toutes les images (Rapport + Présentation) sont 100% uniques et générées par le candidat (zéro copier-coller).","DMB-T2.U12"
"13","T2.U13","Rédaction du Rapport (Sujet : Structure et Mentions)","DMB-projet","","* Niveau 1 - [R] : Les mentions obligatoires (Encadrant correct, date, logos OFPPT/Solicode) sont sur la page de garde.
* Niveau 2 - [R] : La structuration globale du document est logique.
* Niveau 3 - [R] : Chaque chapitre contient impérativement une introduction et une conclusion claires.","DMB-T2.U13"
"14","T2.U14","Support de Présentation (Sujet : Conformité des Slides)","DMB-projet","","* Niveau 1 - [P] : Les slides de base sont présents pour soutenir l'oral.
* Niveau 2 - [P] : Les logos (OFPPT/Solicode), le nom de l'encadrant et la date de soutenance sont présents au début.
* Niveau 3 - [P] : Le formalisme est parfait, incluant obligatoirement une numérotation visible sur chaque slide.","DMB-T2.U14"
